,Unnamed: 0,Rank,Song,Artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
14,14,15,I TOOK A PILL IN IBIZA,Mike Posner,0.034,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,0.665,197933,0.725,1MtUq6Wp1eQ8PC6BbPCj8P,9.17e-06,7,0.0864,-6.588,0,0.12,101.96,4,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,audio_features,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,0.697,79
15,15,16,WORK FROM HOME,Fifth Harmony Featuring Ty Dolla $ign,0.103,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,0.803,214480,0.585,4tCtwWceOPWzenK2HAIJSb,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,audio_features,spotify:track:4tCtwWceOPWzenK2HAIJSb,0.588,84
16,16,17,THIS IS WHAT YOU CAME FOR,Calvin Harris Featuring Rihanna,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,0,0.0331,123.963,4,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.46,85
17,17,18,CAKE BY THE OCEAN,DNCE,0.156,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,0.774,219147,0.765,76hfruVvmfQbw0eYn1nmeC,0,4,0.0373,-5.439,0,0.0502,119.001,4,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,audio_features,spotify:track:76hfruVvmfQbw0eYn1nmeC,0.91,77
18,18,19,"ME, MYSELF & I",G-Eazy x Bebe Rexha,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,19,20,RIDE,twenty one pilots,0.00835,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,0.645,214507,0.713,2Z8WuEywRWYTKe1NybPQEW,0,6,0.113,-5.355,1,0.0393,74.989,4,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.58,85
20,20,21,HEATHENS,twenty one pilots,0.0841,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.732,195920,0.396,6i0V12jOa3mr6uu4WYhUBr,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,audio_features,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.547,85
21,21,22,PILLOWTALK,Zayn,0.117,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,0.584,202747,0.7,0PDUDa38GO8lMxLCRc4lL1,0,11,0.0939,-4.275,1,0.0456,124.944,4,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,audio_features,spotify:track:0PDUDa38GO8lMxLCRc4lL1,0.425,80
22,22,23,STITCHES,Shawn Mendes,0.0196,https://api.spotify.com/v1/audio-analysis/5jsw9uXEGuKyJzs0boZ1bT,0.592,206880,0.752,5jsw9uXEGuKyJzs0boZ1bT,0,1,0.0477,-6.589,1,0.114,74.784,4,https://api.spotify.com/v1/tracks/5jsw9uXEGuKyJzs0boZ1bT,audio_features,spotify:track:5jsw9uXEGuKyJzs0boZ1bT,0.73,75
23,23,24,HOTLINE BLING,Drake,0.00302,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,0.903,267067,0.621,0wwPcA6wtMf6HUMpIRdeP7,0.000186,2,0.0504,-8.132,1,0.0578,134.969,4,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,audio_features,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.544,74
