,Rank,Song,Artist,Year,Source,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
0,1,wooly bully,sam the sham and the pharaohs,1965,3.0,0.713,https://api.spotify.com/v1/audio-analysis/2XkuSbp5say8nZW8g6156Z,0.582,140867,0.575,2XkuSbp5say8nZW8g6156Z,3.66e-06,7,0.151,-11.89,1,0.0529,140.601,4,https://api.spotify.com/v1/tracks/2XkuSbp5say8nZW8g6156Z,audio_features,spotify:track:2XkuSbp5say8nZW8g6156Z,0.559,50
1,2,i cant help myself sugar pie honey bunch,four tops,1965,1.0,0.119,https://api.spotify.com/v1/audio-analysis/0GiWjFOVWv3mVaNCxkgqlq,0.701,165867,0.8,0GiWjFOVWv3mVaNCxkgqlq,0,0,0.0831,-2.936,1,0.0286,127.752,4,https://api.spotify.com/v1/tracks/0GiWjFOVWv3mVaNCxkgqlq,audio_features,spotify:track:0GiWjFOVWv3mVaNCxkgqlq,0.968,63
2,3,i cant get no satisfaction,the rolling stones,1965,1.0,0.0348,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,0.725,222813,0.853,2PzU4IB8Dr6mxV3lHuaG34,0.127,2,0.196,-7.842,1,0.0353,136.282,4,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,audio_features,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,0.897,69
3,4,you were on my mind,we five,1965,1.0,0.485,https://api.spotify.com/v1/audio-analysis/36ckFm0oicmvX8bWEErIHd,0.51,155960,0.565,36ckFm0oicmvX8bWEErIHd,0,1,0.0476,-8.105,0,0.05,143.381,4,https://api.spotify.com/v1/tracks/36ckFm0oicmvX8bWEErIHd,audio_features,spotify:track:36ckFm0oicmvX8bWEErIHd,0.683,34
4,5,youve lost that lovin feelin,the righteous brothers,1965,1.0,0.504,https://api.spotify.com/v1/audio-analysis/5GMw6X6BbCDGO9gApQYRSa,0.39,225227,0.309,5GMw6X6BbCDGO9gApQYRSa,0,1,0.0863,-14.12,1,0.0265,94.444,4,https://api.spotify.com/v1/tracks/5GMw6X6BbCDGO9gApQYRSa,audio_features,spotify:track:5GMw6X6BbCDGO9gApQYRSa,0.452,56
5,6,downtown,petula clark,1965,1.0,0.695,https://api.spotify.com/v1/audio-analysis/0hgWgToJgb7O1tT12YWRCz,0.495,183120,0.629,0hgWgToJgb7O1tT12YWRCz,0,4,0.164,-6.817,1,0.0431,118.515,4,https://api.spotify.com/v1/tracks/0hgWgToJgb7O1tT12YWRCz,audio_features,spotify:track:0hgWgToJgb7O1tT12YWRCz,0.531,51
6,7,help,the beatles,1965,3.0,0.188,https://api.spotify.com/v1/audio-analysis/7DD7eSuYSC5xk2ArU62esN,0.534,139560,0.725,7DD7eSuYSC5xk2ArU62esN,0,6,0.0994,-7.576,0,0.0332,95.003,4,https://api.spotify.com/v1/tracks/7DD7eSuYSC5xk2ArU62esN,audio_features,spotify:track:7DD7eSuYSC5xk2ArU62esN,0.761,60
7,8,cant you hear my heart beat,hermans hermits,1965,5.0,0.0488,https://api.spotify.com/v1/audio-analysis/3Qj9eV3K9SliziHK6EQPDa,0.532,130813,0.636,3Qj9eV3K9SliziHK6EQPDa,0.00089,9,0.101,-11.23,1,0.0373,147.128,4,https://api.spotify.com/v1/tracks/3Qj9eV3K9SliziHK6EQPDa,audio_features,spotify:track:3Qj9eV3K9SliziHK6EQPDa,0.883,24
8,9,crying in the chapel,elvis presley,1965,1.0,0.94,https://api.spotify.com/v1/audio-analysis/1Vzr9AOdHw65UHoK1Vuxls,0.404,143267,0.246,1Vzr9AOdHw65UHoK1Vuxls,3e-05,11,0.297,-13.812,1,0.041,71.274,4,https://api.spotify.com/v1/tracks/1Vzr9AOdHw65UHoK1Vuxls,audio_features,spotify:track:1Vzr9AOdHw65UHoK1Vuxls,0.287,44
9,10,my girl,the temptations,1965,3.0,0.625,https://api.spotify.com/v1/audio-analysis/6jWkZvd1URGktyTTwcpPpB,0.579,165000,0.419,6jWkZvd1URGktyTTwcpPpB,0,0,0.0981,-10.72,1,0.0346,104.564,4,https://api.spotify.com/v1/tracks/6jWkZvd1URGktyTTwcpPpB,audio_features,spotify:track:6jWkZvd1URGktyTTwcpPpB,0.681,72
10,11,help me rhonda,the beach boys,1965,3.0,0.103,https://api.spotify.com/v1/audio-analysis/4qvdAp6MMl59RjaTOti9QD,0.52,167507,0.709,4qvdAp6MMl59RjaTOti9QD,1.06e-06,1,0.167,-7.482,1,0.0332,139.672,4,https://api.spotify.com/v1/tracks/4qvdAp6MMl59RjaTOti9QD,audio_features,spotify:track:4qvdAp6MMl59RjaTOti9QD,0.84,44
11,12,king of the road,roger miller,1965,1.0,0.51,https://api.spotify.com/v1/audio-analysis/36Ew5C2l5r1GAZifRhp4YG,0.731,143373,0.204,36Ew5C2l5r1GAZifRhp4YG,2.02e-05,11,0.0894,-18.934,1,0.0727,121.817,4,https://api.spotify.com/v1/tracks/36Ew5C2l5r1GAZifRhp4YG,audio_features,spotify:track:36Ew5C2l5r1GAZifRhp4YG,0.75,52
12,13,the birds and the bees,jewel akens,1965,3.0,0.189,https://api.spotify.com/v1/audio-analysis/4VRBVIN8KRP1HhMhJPpc5s,0.756,122733,0.538,4VRBVIN8KRP1HhMhJPpc5s,0.00159,6,0.0421,-9.826,1,0.0336,112.129,4,https://api.spotify.com/v1/tracks/4VRBVIN8KRP1HhMhJPpc5s,audio_features,spotify:track:4VRBVIN8KRP1HhMhJPpc5s,0.972,13
13,14,hold me thrill me kiss me,mel carter,1965,1.0,0.74,https://api.spotify.com/v1/audio-analysis/5XPwkZ7vNxeidpNLAkwtFp,0.476,149533,0.575,5XPwkZ7vNxeidpNLAkwtFp,0,1,0.147,-6.522,0,0.0383,111.135,3,https://api.spotify.com/v1/tracks/5XPwkZ7vNxeidpNLAkwtFp,audio_features,spotify:track:5XPwkZ7vNxeidpNLAkwtFp,0.491,43
14,15,shotgun,junior walker  the all stars,1965,3.0,0.181,https://api.spotify.com/v1/audio-analysis/6VzM9C7CXyn1BQdgTJVqDx,0.747,176627,0.671,6VzM9C7CXyn1BQdgTJVqDx,5.24e-06,1,0.061,-5.737,1,0.0332,120.98,4,https://api.spotify.com/v1/tracks/6VzM9C7CXyn1BQdgTJVqDx,audio_features,spotify:track:6VzM9C7CXyn1BQdgTJVqDx,0.659,50
15,16,i got you babe,sonny  cher,1965,3.0,0.246,https://api.spotify.com/v1/audio-analysis/2SWBfqj1FrS8t8z56G55rP,0.621,193840,0.708,2SWBfqj1FrS8t8z56G55rP,2e-06,6,0.143,-9.057,1,0.0259,110.533,3,https://api.spotify.com/v1/tracks/2SWBfqj1FrS8t8z56G55rP,audio_features,spotify:track:2SWBfqj1FrS8t8z56G55rP,0.652,63
16,17,this diamond ring,gary lewis  the playboys,1965,3.0,0.332,https://api.spotify.com/v1/audio-analysis/7n9i7x2fXDmgCsGExP5CrW,0.628,136800,0.609,7n9i7x2fXDmgCsGExP5CrW,0,10,0.136,-10.635,0,0.0278,132.596,4,https://api.spotify.com/v1/tracks/7n9i7x2fXDmgCsGExP5CrW,audio_features,spotify:track:7n9i7x2fXDmgCsGExP5CrW,0.762,46
17,18,the in crowd,ramsey lewis trio,1965,3.0,0.5,https://api.spotify.com/v1/audio-analysis/3l2pObHGPzGmgRWDlAbUJN,0.664,351427,0.513,3l2pObHGPzGmgRWDlAbUJN,0.0525,7,0.961,-19.477,1,0.164,141.638,4,https://api.spotify.com/v1/tracks/3l2pObHGPzGmgRWDlAbUJN,audio_features,spotify:track:3l2pObHGPzGmgRWDlAbUJN,0.629,35
18,19,mrs brown youve got a lovely daughter,hermans hermits,1965,1.0,0.746,https://api.spotify.com/v1/audio-analysis/1GJCJpKYfzRUsYnSRy4Mfz,0.659,167480,0.465,1GJCJpKYfzRUsYnSRy4Mfz,0.00458,0,0.0963,-9.53,1,0.0572,148.894,4,https://api.spotify.com/v1/tracks/1GJCJpKYfzRUsYnSRy4Mfz,audio_features,spotify:track:1GJCJpKYfzRUsYnSRy4Mfz,0.89,34
19,20,stop in the name of love,the supremes,1965,1.0,0.508,https://api.spotify.com/v1/audio-analysis/5yfrc6CGOXxDWx3nGUDcNj,0.628,172933,0.593,5yfrc6CGOXxDWx3nGUDcNj,0,0,0.104,-7.515,1,0.0279,114.944,4,https://api.spotify.com/v1/tracks/5yfrc6CGOXxDWx3nGUDcNj,audio_features,spotify:track:5yfrc6CGOXxDWx3nGUDcNj,0.457,58
20,21,unchained melody,the righteous brothers,1965,1.0,0.517,https://api.spotify.com/v1/audio-analysis/1jFhnVoJkcB4lf9tT0rSZS,0.367,215840,0.215,1jFhnVoJkcB4lf9tT0rSZS,0,0,0.618,-16.652,1,0.0288,98.742,3,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS,audio_features,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,0.255,66
21,22,silhouettes,hermans hermits,1965,1.0,0.671,https://api.spotify.com/v1/audio-analysis/4JxKHEtoBlaw6GlJPJYQo8,0.547,119107,0.623,4JxKHEtoBlaw6GlJPJYQo8,0,7,0.313,-8.399,1,0.03,112.704,4,https://api.spotify.com/v1/tracks/4JxKHEtoBlaw6GlJPJYQo8,audio_features,spotify:track:4JxKHEtoBlaw6GlJPJYQo8,0.873,29
22,23,ill never find another you,the seekers,1965,1.0,0.75,https://api.spotify.com/v1/audio-analysis/6Ln9F9lZNMgV5Ht87z9Bd0,0.567,162320,0.672,6Ln9F9lZNMgV5Ht87z9Bd0,0.0837,10,0.367,-7.666,1,0.0336,126.509,4,https://api.spotify.com/v1/tracks/6Ln9F9lZNMgV5Ht87z9Bd0,audio_features,spotify:track:6Ln9F9lZNMgV5Ht87z9Bd0,0.795,48
23,24,cara mia,jay and the americans,1965,3.0,0.29,https://api.spotify.com/v1/audio-analysis/0Arrnl9EB7LtzPISpNBQQf,0.366,153160,0.707,0Arrnl9EB7LtzPISpNBQQf,3.17e-05,0,0.505,-9.392,1,0.046,127.701,4,https://api.spotify.com/v1/tracks/0Arrnl9EB7LtzPISpNBQQf,audio_features,spotify:track:0Arrnl9EB7LtzPISpNBQQf,0.505,42
24,25,mr tambourine man,the byrds,1965,1.0,0.513,https://api.spotify.com/v1/audio-analysis/2HCaIYjkvWSZzaSKUoOh3d,0.456,149467,0.47,2HCaIYjkvWSZzaSKUoOh3d,3.76e-05,2,0.444,-9.564,1,0.0294,120.336,4,https://api.spotify.com/v1/tracks/2HCaIYjkvWSZzaSKUoOh3d,audio_features,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,0.639,61
25,26,cast your fate to the wind,sounds orchestral,1965,3.0,0.394,https://api.spotify.com/v1/audio-analysis/38KTIenSEnoGNGLUrYdFLV,0.559,195000,0.31,38KTIenSEnoGNGLUrYdFLV,0.794,8,0.108,-13.499,1,0.0408,128.691,4,https://api.spotify.com/v1/tracks/38KTIenSEnoGNGLUrYdFLV,audio_features,spotify:track:38KTIenSEnoGNGLUrYdFLV,0.338,25
26,27,yes im ready,barbara mason,1965,5.0,0.902,https://api.spotify.com/v1/audio-analysis/2gZpW5pTZkimGG98loFSl2,0.237,184333,0.377,2gZpW5pTZkimGG98loFSl2,0,5,0.131,-8.798,1,0.0287,173.142,3,https://api.spotify.com/v1/tracks/2gZpW5pTZkimGG98loFSl2,audio_features,spotify:track:2gZpW5pTZkimGG98loFSl2,0.48,48
27,28,whats new pussycat,tom jones,1965,1.0,0.844,https://api.spotify.com/v1/audio-analysis/4dx3Lqdq4WvUWx23d04tOl,0.372,124067,0.596,4dx3Lqdq4WvUWx23d04tOl,0,6,0.194,-8.306,0,0.181,184.001,3,https://api.spotify.com/v1/tracks/4dx3Lqdq4WvUWx23d04tOl,audio_features,spotify:track:4dx3Lqdq4WvUWx23d04tOl,0.624,44
28,29,eve of destruction,barry mcguire,1965,1.0,0.352,https://api.spotify.com/v1/audio-analysis/1x95pWB3KeK3evKa1VrW6e,0.585,216813,0.414,1x95pWB3KeK3evKa1VrW6e,0,2,0.102,-13.494,1,0.0442,116.483,4,https://api.spotify.com/v1/tracks/1x95pWB3KeK3evKa1VrW6e,audio_features,spotify:track:1x95pWB3KeK3evKa1VrW6e,0.784,45
29,30,hang on sloopy,the mccoys,1965,3.0,0.167,https://api.spotify.com/v1/audio-analysis/0i7O5MtSTXvR4BEY7stpjF,0.764,231800,0.516,0i7O5MtSTXvR4BEY7stpjF,0,7,0.0723,-12.099,1,0.0334,115.255,4,https://api.spotify.com/v1/tracks/0i7O5MtSTXvR4BEY7stpjF,audio_features,spotify:track:0i7O5MtSTXvR4BEY7stpjF,0.929,51
30,31,ticket to ride,the beatles,1965,3.0,0.0457,https://api.spotify.com/v1/audio-analysis/7CZiDzGVjUssMSOXrDNYHL,0.519,189680,0.85,7CZiDzGVjUssMSOXrDNYHL,0,9,0.233,-6.777,1,0.0678,123.419,4,https://api.spotify.com/v1/tracks/7CZiDzGVjUssMSOXrDNYHL,audio_features,spotify:track:7CZiDzGVjUssMSOXrDNYHL,0.75,58
31,32,red roses for a blue lady,bert kaempfert,1965,3.0,0.919,https://api.spotify.com/v1/audio-analysis/71UG7fxAh0mffJpyC07SiX,0.575,139640,0.327,71UG7fxAh0mffJpyC07SiX,0.596,7,0.174,-11.43,1,0.0325,117.604,4,https://api.spotify.com/v1/tracks/71UG7fxAh0mffJpyC07SiX,audio_features,spotify:track:71UG7fxAh0mffJpyC07SiX,0.27,25
32,33,papas got a brand new bag,james brown,1965,1.0,0.493,https://api.spotify.com/v1/audio-analysis/6v4gV9s0pnwKbmF1yk5knO,0.746,125707,0.702,6v4gV9s0pnwKbmF1yk5knO,0.0398,4,0.0964,-8.099,1,0.0766,129.434,4,https://api.spotify.com/v1/tracks/6v4gV9s0pnwKbmF1yk5knO,audio_features,spotify:track:6v4gV9s0pnwKbmF1yk5knO,0.904,57
33,34,game of love,wayne fontana  the mindbenders,1965,3.0,0.113,https://api.spotify.com/v1/audio-analysis/3YaSR3Ug3nTBTP6N1iSgYf,0.593,126040,0.805,3YaSR3Ug3nTBTP6N1iSgYf,0,9,0.469,-4.874,1,0.0349,109.024,4,https://api.spotify.com/v1/tracks/3YaSR3Ug3nTBTP6N1iSgYf,audio_features,spotify:track:3YaSR3Ug3nTBTP6N1iSgYf,0.952,30
34,35,the name game,shirley ellis,1965,3.0,0.201,https://api.spotify.com/v1/audio-analysis/1wQjtqCtUqvaV6CjPKIGdc,0.678,164867,0.811,1wQjtqCtUqvaV6CjPKIGdc,3.99e-06,5,0.178,-7.419,0,0.123,163.761,4,https://api.spotify.com/v1/tracks/1wQjtqCtUqvaV6CjPKIGdc,audio_features,spotify:track:1wQjtqCtUqvaV6CjPKIGdc,0.938,33
35,36,i know a place,petula clark,1965,1.0,0.735,https://api.spotify.com/v1/audio-analysis/7dQP6ESUYUMYUAnGkdyjXi,0.434,162600,0.722,7dQP6ESUYUMYUAnGkdyjXi,1.16e-05,4,0.634,-9.637,1,0.0496,137.936,4,https://api.spotify.com/v1/tracks/7dQP6ESUYUMYUAnGkdyjXi,audio_features,spotify:track:7dQP6ESUYUMYUAnGkdyjXi,0.604,35
36,37,back in my arms again,the supremes,1965,1.0,0.156,https://api.spotify.com/v1/audio-analysis/1cY6UYbPf4plUm3fpLZGWF,0.719,176613,0.516,1cY6UYbPf4plUm3fpLZGWF,0.0199,5,0.148,-9.005,1,0.0296,123.296,4,https://api.spotify.com/v1/tracks/1cY6UYbPf4plUm3fpLZGWF,audio_features,spotify:track:1cY6UYbPf4plUm3fpLZGWF,0.535,43
37,38,baby im yours,barbara lewis,1965,1.0,0.401,https://api.spotify.com/v1/audio-analysis/5GInJChhrHyXmwb4tQFJJG,0.464,152733,0.398,5GInJChhrHyXmwb4tQFJJG,0,6,0.064,-14.282,1,0.03,98.256,4,https://api.spotify.com/v1/tracks/5GInJChhrHyXmwb4tQFJJG,audio_features,spotify:track:5GInJChhrHyXmwb4tQFJJG,0.81,57
38,39,the jolly green giant,the kingsmen,1965,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,40,hush hush sweet charlotte,patti page,1965,1.0,0.782,https://api.spotify.com/v1/audio-analysis/7piKtR55k2SsnV7I01ncNI,0.335,152360,0.163,7piKtR55k2SsnV7I01ncNI,0,10,0.316,-17.254,1,0.031,84.315,4,https://api.spotify.com/v1/tracks/7piKtR55k2SsnV7I01ncNI,audio_features,spotify:track:7piKtR55k2SsnV7I01ncNI,0.523,36
40,41,like a rolling stone,bob dylan,1965,1.0,0.729,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,0.483,369600,0.721,3AhXZa8sUQht0UEdBJgpGc,0,0,0.189,-6.836,1,0.032,95.261,4,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,audio_features,spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.561,72
41,42,im telling you now,freddie and the dreamers,1965,,0.652,https://api.spotify.com/v1/audio-analysis/0yYMwhZjETU65G0cb4OTRr,0.679,125533,0.499,0yYMwhZjETU65G0cb4OTRr,0,3,0.204,-6.861,1,0.0538,144.311,4,https://api.spotify.com/v1/tracks/0yYMwhZjETU65G0cb4OTRr,audio_features,spotify:track:0yYMwhZjETU65G0cb4OTRr,0.754,24
42,43,ferry cross the mersey,gerry and the pacemakers,1965,3.0,0.255,https://api.spotify.com/v1/audio-analysis/4aSw1QJIMwYSoDEgzgdCJL,0.405,141987,0.365,4aSw1QJIMwYSoDEgzgdCJL,4.68e-06,6,0.163,-10.226,0,0.0289,104.536,4,https://api.spotify.com/v1/tracks/4aSw1QJIMwYSoDEgzgdCJL,audio_features,spotify:track:4aSw1QJIMwYSoDEgzgdCJL,0.584,47
43,44,just once in my life,the righteous brothers,1965,1.0,0.623,https://api.spotify.com/v1/audio-analysis/0qdTcFmL5mtPgdYqPPJubE,0.258,229200,0.398,0qdTcFmL5mtPgdYqPPJubE,7.76e-05,2,0.341,-12.869,1,0.0357,90.224,4,https://api.spotify.com/v1/tracks/0qdTcFmL5mtPgdYqPPJubE,audio_features,spotify:track:0qdTcFmL5mtPgdYqPPJubE,0.27,32
44,45,the seventh son,johnny rivers,1965,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,46,im henery the eighth i am,hermans hermits,1965,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,47,a walk in the black forest,horst jankowski,1965,3.0,0.633,https://api.spotify.com/v1/audio-analysis/3msjvrkCvIzUNJHULcAafN,0.704,169680,0.377,3msjvrkCvIzUNJHULcAafN,0.494,2,0.23,-11.896,1,0.0306,106.251,4,https://api.spotify.com/v1/tracks/3msjvrkCvIzUNJHULcAafN,audio_features,spotify:track:3msjvrkCvIzUNJHULcAafN,0.778,23
47,48,for your love,the yardbirds,1965,3.0,0.236,https://api.spotify.com/v1/audio-analysis/5bC4y9Zhn6ng0MOzACCHkc,0.347,150627,0.638,5bC4y9Zhn6ng0MOzACCHkc,0,2,0.0894,-10.258,1,0.0409,94.506,4,https://api.spotify.com/v1/tracks/5bC4y9Zhn6ng0MOzACCHkc,audio_features,spotify:track:5bC4y9Zhn6ng0MOzACCHkc,0.594,58
48,49,california girls,the beach boys,1965,3.0,0.471,https://api.spotify.com/v1/audio-analysis/6bJuuCtXYiwOcKT9s8uRh8,0.503,160360,0.62,6bJuuCtXYiwOcKT9s8uRh8,0,11,0.159,-6.069,1,0.0295,116.595,4,https://api.spotify.com/v1/tracks/6bJuuCtXYiwOcKT9s8uRh8,audio_features,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,0.703,58
49,50,go now,the moody blues,1965,3.0,0.586,https://api.spotify.com/v1/audio-analysis/0aE88kbyvVtBx9lcyv95fe,0.334,191200,0.474,0aE88kbyvVtBx9lcyv95fe,0,5,0.144,-11.959,0,0.0373,118.248,3,https://api.spotify.com/v1/tracks/0aE88kbyvVtBx9lcyv95fe,audio_features,spotify:track:0aE88kbyvVtBx9lcyv95fe,0.618,40
50,51,goldfinger,shirley bassey,1965,1.0,0.265,https://api.spotify.com/v1/audio-analysis/6NGe9yGadOvtx0XRePVRdo,0.401,168733,0.446,6NGe9yGadOvtx0XRePVRdo,0,4,0.298,-9.646,1,0.0416,103.906,4,https://api.spotify.com/v1/tracks/6NGe9yGadOvtx0XRePVRdo,audio_features,spotify:track:6NGe9yGadOvtx0XRePVRdo,0.42,39
51,52,down in the boondocks,billy joe royal,1965,1.0,0.226,https://api.spotify.com/v1/audio-analysis/3sJIuAtweMA8dpAayT8Qnc,0.72,153827,0.599,3sJIuAtweMA8dpAayT8Qnc,0.000142,9,0.14,-13.341,1,0.0436,83.282,4,https://api.spotify.com/v1/tracks/3sJIuAtweMA8dpAayT8Qnc,audio_features,spotify:track:3sJIuAtweMA8dpAayT8Qnc,0.935,34
52,53,baby the rain must fall,glenn yarbrough,1965,3.0,0.873,https://api.spotify.com/v1/audio-analysis/6bZKOc50K0nlfNAPleAlkA,0.56,139040,0.529,6bZKOc50K0nlfNAPleAlkA,0,4,0.361,-10.105,1,0.0303,109.787,4,https://api.spotify.com/v1/tracks/6bZKOc50K0nlfNAPleAlkA,audio_features,spotify:track:6bZKOc50K0nlfNAPleAlkA,0.508,23
53,54,catch us if you can,the dave clark five,1965,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,55,eight days a week,the beatles,1965,3.0,0.412,https://api.spotify.com/v1/audio-analysis/1Dg4dFJr3HW7sbA7vPejre,0.652,163600,0.583,1Dg4dFJr3HW7sbA7vPejre,0,9,0.119,-7.811,1,0.038,138.134,4,https://api.spotify.com/v1/tracks/1Dg4dFJr3HW7sbA7vPejre,audio_features,spotify:track:1Dg4dFJr3HW7sbA7vPejre,0.758,56
55,56,just a little,the beau brummels,1965,3.0,0.165,https://api.spotify.com/v1/audio-analysis/4PXJjX7PQGzCh4G5WR4Pli,0.591,145507,0.611,4PXJjX7PQGzCh4G5WR4Pli,3.71e-05,9,0.114,-9.179,0,0.0394,128.241,4,https://api.spotify.com/v1/tracks/4PXJjX7PQGzCh4G5WR4Pli,audio_features,spotify:track:4PXJjX7PQGzCh4G5WR4Pli,0.679,28
56,57,you turn me on,ian whitcomb,1965,3.0,0.254,https://api.spotify.com/v1/audio-analysis/1qLkTAzxVkneRbIcIAvgEA,0.738,163667,0.804,1qLkTAzxVkneRbIcIAvgEA,0.00755,10,0.0608,-8.55,1,0.0395,94.015,4,https://api.spotify.com/v1/tracks/1qLkTAzxVkneRbIcIAvgEA,audio_features,spotify:track:1qLkTAzxVkneRbIcIAvgEA,0.921,13
57,58,ill be doggone,marvin gaye,1965,1.0,0.189,https://api.spotify.com/v1/audio-analysis/471yG3FpXwgKcbNlblZ1Yt,0.726,166200,0.57,471yG3FpXwgKcbNlblZ1Yt,0,2,0.0799,-10.037,1,0.0319,133.658,4,https://api.spotify.com/v1/tracks/471yG3FpXwgKcbNlblZ1Yt,audio_features,spotify:track:471yG3FpXwgKcbNlblZ1Yt,0.747,31
58,59,save your heart for me,gary lewis  the playboys,1965,3.0,0.106,https://api.spotify.com/v1/audio-analysis/3t0BNaPKjRyekNdpd3GiR2,0.63,119840,0.272,3t0BNaPKjRyekNdpd3GiR2,0,2,0.0654,-10.338,1,0.0268,105.754,4,https://api.spotify.com/v1/tracks/3t0BNaPKjRyekNdpd3GiR2,audio_features,spotify:track:3t0BNaPKjRyekNdpd3GiR2,0.6,29
59,60,tired of waiting for you,the kinks,1965,3.0,0.419,https://api.spotify.com/v1/audio-analysis/0gDHo7nkUC3846vefhHJcE,0.674,149880,0.702,0gDHo7nkUC3846vefhHJcE,0,0,0.249,-9.723,1,0.0354,122.096,4,https://api.spotify.com/v1/tracks/0gDHo7nkUC3846vefhHJcE,audio_features,spotify:track:0gDHo7nkUC3846vefhHJcE,0.867,45
60,61,count me in,gary lewis  the playboys,1965,3.0,0.308,https://api.spotify.com/v1/audio-analysis/5VB2fb8NTAkMJzqCIdB4vC,0.446,146267,0.677,5VB2fb8NTAkMJzqCIdB4vC,1.37e-06,5,0.129,-8.874,1,0.0386,161.523,4,https://api.spotify.com/v1/tracks/5VB2fb8NTAkMJzqCIdB4vC,audio_features,spotify:track:5VB2fb8NTAkMJzqCIdB4vC,0.778,34
61,62,all day and all of the night,the kinks,1965,3.0,0.247,https://api.spotify.com/v1/audio-analysis/5gmMa8nwzrkcPbHzSW3azN,0.563,142227,0.915,5gmMa8nwzrkcPbHzSW3azN,8.46e-05,7,0.0613,-5.062,1,0.08,136.345,4,https://api.spotify.com/v1/tracks/5gmMa8nwzrkcPbHzSW3azN,audio_features,spotify:track:5gmMa8nwzrkcPbHzSW3azN,0.722,68
62,63,what the world needs now is love,jackie deshannon,1965,1.0,0.826,https://api.spotify.com/v1/audio-analysis/1fjOO2k5k2vjg6TrvPJ2NS,0.454,186400,0.406,1fjOO2k5k2vjg6TrvPJ2NS,0,1,0.0961,-9.536,1,0.0314,106.053,4,https://api.spotify.com/v1/tracks/1fjOO2k5k2vjg6TrvPJ2NS,audio_features,spotify:track:1fjOO2k5k2vjg6TrvPJ2NS,0.468,38
63,64,its not unusual,tom jones,1965,1.0,0.585,https://api.spotify.com/v1/audio-analysis/5Fwif6oyL2EjXAFTGL909U,0.519,119267,0.69,5Fwif6oyL2EjXAFTGL909U,0,0,0.206,-8.568,1,0.0433,93.065,4,https://api.spotify.com/v1/tracks/5Fwif6oyL2EjXAFTGL909U,audio_features,spotify:track:5Fwif6oyL2EjXAFTGL909U,0.916,58
64,65,shes about a mover,sir douglas quintet,1965,5.0,0.169,https://api.spotify.com/v1/audio-analysis/40Fs8G1qws6fP8Zz0Tm1u3,0.632,145147,0.805,40Fs8G1qws6fP8Zz0Tm1u3,3.46e-06,4,0.068,-5.063,1,0.0286,89.641,4,https://api.spotify.com/v1/tracks/40Fs8G1qws6fP8Zz0Tm1u3,audio_features,spotify:track:40Fs8G1qws6fP8Zz0Tm1u3,0.856,35
65,66,shake,sam cooke,1965,1.0,0.772,https://api.spotify.com/v1/audio-analysis/5naGmbqRY9AlitnRgbw0uX,0.543,173613,0.839,5naGmbqRY9AlitnRgbw0uX,0,5,0.3,-7.544,1,0.0653,151.452,4,https://api.spotify.com/v1/tracks/5naGmbqRY9AlitnRgbw0uX,audio_features,spotify:track:5naGmbqRY9AlitnRgbw0uX,0.769,27
66,67,wonderful world,hermans hermits,1965,1.0,0.21,https://api.spotify.com/v1/audio-analysis/43LT5KZkhHbSqOjOUeQbh6,0.71,121706,0.722,43LT5KZkhHbSqOjOUeQbh6,1.26e-05,0,0.297,-7.659,1,0.053,141.877,4,https://api.spotify.com/v1/tracks/43LT5KZkhHbSqOjOUeQbh6,audio_features,spotify:track:43LT5KZkhHbSqOjOUeQbh6,0.964,31
67,68,nowhere to run,martha and the vandellas,1965,3.0,0.148,https://api.spotify.com/v1/audio-analysis/0hA6gpx876uv2z7vROkFzw,0.648,171933,0.922,0hA6gpx876uv2z7vROkFzw,0.00264,2,0.1,-2.293,0,0.0557,129.378,4,https://api.spotify.com/v1/tracks/0hA6gpx876uv2z7vROkFzw,audio_features,spotify:track:0hA6gpx876uv2z7vROkFzw,0.962,59
