,Rank,Song,Artist,Year,Source,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
1326,27,cant smile without you,barry manilow,1978,1.0,0.551,https://api.spotify.com/v1/audio-analysis/39E9wHDDmHgKJt8yWWgRjT,0.394,192520,0.615,39E9wHDDmHgKJt8yWWgRjT,1.65e-06,7,0.168,-7.59,1,0.0331,97.464,4,https://api.spotify.com/v1/tracks/39E9wHDDmHgKJt8yWWgRjT,audio_features,spotify:track:39E9wHDDmHgKJt8yWWgRjT,0.463,46
1327,28,too much too little too late,johnny mathis  deniece williams,1978,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1328,29,dance with me,peter brown,1978,3.0,0.117,https://api.spotify.com/v1/audio-analysis/3HOgUlwPDsh0kEFnbr5EL5,0.912,319227,0.42,3HOgUlwPDsh0kEFnbr5EL5,0.000717,10,0.0424,-14.798,1,0.0507,108.53,4,https://api.spotify.com/v1/tracks/3HOgUlwPDsh0kEFnbr5EL5,audio_features,spotify:track:3HOgUlwPDsh0kEFnbr5EL5,0.897,30
1329,30,two out of three aint bad,meat loaf,1978,1.0,0.385,https://api.spotify.com/v1/audio-analysis/2ph0hzV1kCVhR82E2La4q5,0.586,324440,0.48,2ph0hzV1kCVhR82E2La4q5,0,9,0.0947,-9.138,1,0.0243,79.873,4,https://api.spotify.com/v1/tracks/2ph0hzV1kCVhR82E2La4q5,audio_features,spotify:track:2ph0hzV1kCVhR82E2La4q5,0.48,58
1330,31,jack and jill,raydio,1978,3.0,0.395,https://api.spotify.com/v1/audio-analysis/5KDT5BDSmomPMe2AXuGInR,0.693,275667,0.659,5KDT5BDSmomPMe2AXuGInR,0.00485,4,0.133,-4.722,1,0.0299,106.247,4,https://api.spotify.com/v1/tracks/5KDT5BDSmomPMe2AXuGInR,audio_features,spotify:track:5KDT5BDSmomPMe2AXuGInR,0.526,40
1331,32,take a chance on me,abba,1978,1.0,0.16,https://api.spotify.com/v1/audio-analysis/6vQN2a9QSgWcm74KEZYfDL,0.687,243933,0.689,6vQN2a9QSgWcm74KEZYfDL,0,11,0.254,-7.972,1,0.0257,106.914,4,https://api.spotify.com/v1/tracks/6vQN2a9QSgWcm74KEZYfDL,audio_features,spotify:track:6vQN2a9QSgWcm74KEZYfDL,0.928,58
1332,33,sometimes when we touch,dan hill,1978,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1333,34,last dance,donna summer,1978,1.0,0.137,https://api.spotify.com/v1/audio-analysis/4tY01qYozc6db4gihAiIl8,0.529,199800,0.722,4tY01qYozc6db4gihAiIl8,0.000479,3,0.212,-10.241,1,0.0682,126.356,4,https://api.spotify.com/v1/tracks/4tY01qYozc6db4gihAiIl8,audio_features,spotify:track:4tY01qYozc6db4gihAiIl8,0.237,54
1334,35,hopelessly devoted to you,olivia newtonjohn,1978,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1335,36,hot blooded,foreigner,1978,1.0,0.229,https://api.spotify.com/v1/audio-analysis/6xMHglHoafdDFGXS6qfwSH,0.705,268693,0.806,6xMHglHoafdDFGXS6qfwSH,0,0,0.0676,-4.83,1,0.0814,117.945,4,https://api.spotify.com/v1/tracks/6xMHglHoafdDFGXS6qfwSH,audio_features,spotify:track:6xMHglHoafdDFGXS6qfwSH,0.753,61
1336,37,youre in my heart the final acclaim,rod stewart,1978,1.0,0.632,https://api.spotify.com/v1/audio-analysis/4P9kOK2PafbamK95SJOCbO,0.554,267907,0.293,4P9kOK2PafbamK95SJOCbO,0,9,0.13,-12.336,1,0.0341,103.293,4,https://api.spotify.com/v1/tracks/4P9kOK2PafbamK95SJOCbO,audio_features,spotify:track:4P9kOK2PafbamK95SJOCbO,0.349,53
1337,38,the closer i get to you,roberta flack  donny hathaway,1978,3.0,0.711,https://api.spotify.com/v1/audio-analysis/44jdxE3S8EX1lOAxV9vQbZ,0.49,280800,0.321,44jdxE3S8EX1lOAxV9vQbZ,2.15e-06,9,0.0372,-13.283,1,0.0302,121.377,4,https://api.spotify.com/v1/tracks/44jdxE3S8EX1lOAxV9vQbZ,audio_features,spotify:track:44jdxE3S8EX1lOAxV9vQbZ,0.228,50
1338,39,dust in the wind,kansas,1978,1.0,0.367,https://api.spotify.com/v1/audio-analysis/6zeE5tKyr8Nu882DQhhSQI,0.475,206267,0.322,6zeE5tKyr8Nu882DQhhSQI,0.00056,7,0.11,-10.687,1,0.0283,93.503,4,https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI,audio_features,spotify:track:6zeE5tKyr8Nu882DQhhSQI,0.39,72
1339,40,magnet and steel,walter egan,1978,1.0,0.349,https://api.spotify.com/v1/audio-analysis/1Fk6KB9H0oZ2rYKFRDrhQm,0.719,204760,0.395,1Fk6KB9H0oZ2rYKFRDrhQm,5.07e-05,1,0.0716,-9.581,0,0.0335,113.036,3,https://api.spotify.com/v1/tracks/1Fk6KB9H0oZ2rYKFRDrhQm,audio_features,spotify:track:1Fk6KB9H0oZ2rYKFRDrhQm,0.711,45
1340,41,short people,randy newman,1978,1.0,0.727,https://api.spotify.com/v1/audio-analysis/53yBKCc5S7u8zzutqepkiT,0.681,171640,0.515,53yBKCc5S7u8zzutqepkiT,0.0561,9,0.0789,-8.714,1,0.0341,60.39,4,https://api.spotify.com/v1/tracks/53yBKCc5S7u8zzutqepkiT,audio_features,spotify:track:53yBKCc5S7u8zzutqepkiT,0.533,47
1341,42,use ta be my girl,the ojays,1978,1.0,0.479,https://api.spotify.com/v1/audio-analysis/7EjdrZbFpBP2lIKT5zL7gT,0.641,198707,0.615,7EjdrZbFpBP2lIKT5zL7gT,0,1,0.195,-7.411,1,0.0539,111.485,4,https://api.spotify.com/v1/tracks/7EjdrZbFpBP2lIKT5zL7gT,audio_features,spotify:track:7EjdrZbFpBP2lIKT5zL7gT,0.888,52
1342,43,our love,natalie cole,1978,1.0,0.867,https://api.spotify.com/v1/audio-analysis/1BuHbtYFgSaV99PFPBZEkW,0.39,209960,0.0968,1BuHbtYFgSaV99PFPBZEkW,3.58e-06,0,0.0715,-14.966,1,0.0285,68.768,4,https://api.spotify.com/v1/tracks/1BuHbtYFgSaV99PFPBZEkW,audio_features,spotify:track:1BuHbtYFgSaV99PFPBZEkW,0.139,55
1343,44,love will find a way,pablo cruise,1978,1.0,0.0112,https://api.spotify.com/v1/audio-analysis/2LqzuRukwnpeWYLXBtiwmq,0.797,251427,0.479,2LqzuRukwnpeWYLXBtiwmq,2.88e-05,7,0.0624,-13.855,1,0.0367,124.337,4,https://api.spotify.com/v1/tracks/2LqzuRukwnpeWYLXBtiwmq,audio_features,spotify:track:2LqzuRukwnpeWYLXBtiwmq,0.863,45
